timestep,reward
16,16.0
45,29.0
82,37.0
97,15.0
132,35.0
152,20.0
187,35.0
231,44.0
243,12.0
259,16.0
303,44.0
329,26.0
374,45.0
388,14.0
400,12.0
426,26.0
436,10.0
448,12.0
465,17.0
481,16.0
499,18.0
520,21.0
552,32.0
579,27.0
629,50.0
644,15.0
681,37.0
697,16.0
712,15.0
753,41.0
780,27.0
793,13.0
813,20.0
826,13.0
852,26.0
875,23.0
893,18.0
937,44.0
957,20.0
983,26.0
1005,22.0
1024,19.0
1052,28.0
1067,15.0
1092,25.0
1106,14.0
1138,32.0
1157,19.0
1183,26.0
1210,27.0
1223,13.0
1249,26.0
1271,22.0
1282,11.0
1308,26.0
1326,18.0
1353,27.0
1366,13.0
1381,15.0
1397,16.0
1409,12.0
1462,53.0
1476,14.0
1508,32.0
1539,31.0
1552,13.0
1586,34.0
1598,12.0
1626,28.0
1647,21.0
1661,14.0
1676,15.0
1696,20.0
1714,18.0
1738,24.0
1756,18.0
1768,12.0
1788,20.0
1808,20.0
1839,31.0
1857,18.0
1879,22.0
1895,16.0
1914,19.0
1927,13.0
1943,16.0
1961,18.0
1979,18.0
1998,19.0
2012,14.0
2043,31.0
2063,20.0
2081,18.0
2095,14.0
2140,45.0
2164,24.0
2222,58.0
2244,22.0
2278,34.0
2294,16.0
2307,13.0
2324,17.0
2354,30.0
2368,14.0
2383,15.0
2412,29.0
2423,11.0
2436,13.0
2459,23.0
2478,19.0
2497,19.0
2531,34.0
2545,14.0
2583,38.0
2620,37.0
2637,17.0
2649,12.0
2666,17.0
2684,18.0
2754,70.0
2765,11.0
2784,19.0
2804,20.0
2818,14.0
2834,16.0
2849,15.0
2875,26.0
2892,17.0
2916,24.0
2928,12.0
2939,11.0
2957,18.0
2972,15.0
2986,14.0
2996,10.0
3016,20.0
3032,16.0
3056,24.0
3067,11.0
3078,11.0
3107,29.0
3132,25.0
3146,14.0
3157,11.0
3186,29.0
3200,14.0
3230,30.0
3241,11.0
3260,19.0
3279,19.0
3295,16.0
3309,14.0
3318,9.0
3334,16.0
3401,67.0
3417,16.0
3432,15.0
3452,20.0
3470,18.0
3498,28.0
3512,14.0
3549,37.0
3569,20.0
3579,10.0
3596,17.0
3608,12.0
3639,31.0
3653,14.0
3667,14.0
3679,12.0
3727,48.0
3764,37.0
3815,51.0
3835,20.0
3849,14.0
3860,11.0
3898,38.0
3953,55.0
3965,12.0
3981,16.0
3996,15.0
4022,26.0
4062,40.0
4073,11.0
4089,16.0
4110,21.0
4119,9.0
4154,35.0
4184,30.0
4197,13.0
4212,15.0
4228,16.0
4244,16.0
4253,9.0
4275,22.0
4291,16.0
4309,18.0
4320,11.0
4351,31.0
4370,19.0
4397,27.0
4429,32.0
4452,23.0
4466,14.0
4484,18.0
4513,29.0
4529,16.0
4587,58.0
4612,25.0
4621,9.0
4647,26.0
4666,19.0
4728,62.0
4747,19.0
4768,21.0
4787,19.0
4815,28.0
4837,22.0
4859,22.0
4892,33.0
4919,27.0
4939,20.0
4952,13.0
4978,26.0
4995,17.0
5027,32.0
5040,13.0
5074,34.0
5089,15.0
5105,16.0
5121,16.0
5185,64.0
5197,12.0
5211,14.0
5226,15.0
5245,19.0
5275,30.0
5307,32.0
5341,34.0
5358,17.0
5376,18.0
5398,22.0
5416,18.0
5442,26.0
5464,22.0
5483,19.0
5493,10.0
5505,12.0
5526,21.0
5546,20.0
5585,39.0
5606,21.0
5618,12.0
5663,45.0
5678,15.0
5695,17.0
5717,22.0
5732,15.0
5750,18.0
5767,17.0
5783,16.0
5792,9.0
5822,30.0
5840,18.0
5881,41.0
5930,49.0
5967,37.0
6002,35.0
6027,25.0
6041,14.0
6055,14.0
6070,15.0
6080,10.0
6099,19.0
6124,25.0
6132,8.0
6145,13.0
6166,21.0
6179,13.0
6189,10.0
6206,17.0
6218,12.0
6236,18.0
6261,25.0
6284,23.0
6300,16.0
6319,19.0
6347,28.0
6382,35.0
6403,21.0
6422,19.0
6432,10.0
6454,22.0
6469,15.0
6521,52.0
6537,16.0
6578,41.0
6617,39.0
6664,47.0
6692,28.0
6713,21.0
6772,59.0
6794,22.0
6885,91.0
6909,24.0
6941,32.0
6951,10.0
6976,25.0
7017,41.0
7039,22.0
7054,15.0
7067,13.0
7076,9.0
7111,35.0
7143,32.0
7171,28.0
7185,14.0
7207,22.0
7244,37.0
7314,70.0
7328,14.0
7355,27.0
7370,15.0
7406,36.0
7425,19.0
7451,26.0
7475,24.0
7497,22.0
7513,16.0
7538,25.0
7566,28.0
7588,22.0
7629,41.0
7668,39.0
7722,54.0
7781,59.0
7802,21.0
7837,35.0
7868,31.0
7882,14.0
7905,23.0
7936,31.0
7986,50.0
8006,20.0
8048,42.0
8067,19.0
8085,18.0
8097,12.0
8109,12.0
8130,21.0
8176,46.0
8194,18.0
8237,43.0
8251,14.0
8267,16.0
8298,31.0
8348,50.0
8368,20.0
8392,24.0
8408,16.0
8446,38.0
8511,65.0
8530,19.0
8594,64.0
8625,31.0
8646,21.0
8659,13.0
8677,18.0
8700,23.0
8741,41.0
8756,15.0
8782,26.0
8802,20.0
8815,13.0
8833,18.0
8870,37.0
8889,19.0
8908,19.0
8950,42.0
8973,23.0
8986,13.0
9002,16.0
9028,26.0
9073,45.0
9140,67.0
9154,14.0
9186,32.0
9235,49.0
9252,17.0
9270,18.0
9291,21.0
9303,12.0
9343,40.0
9399,56.0
9417,18.0
9520,103.0
9544,24.0
9575,31.0
9594,19.0
9623,29.0
9658,35.0
9690,32.0
9720,30.0
9732,12.0
9800,68.0
9849,49.0
9866,17.0
9941,75.0
10002,61.0
10036,34.0
10050,14.0
10063,13.0
10077,14.0
10138,61.0
10150,12.0
10197,47.0
10221,24.0
10288,67.0
10338,50.0
10362,24.0
10410,48.0
10426,16.0
10445,19.0
10519,74.0
10543,24.0
10574,31.0
10670,96.0
10705,35.0
10734,29.0
10753,19.0
10782,29.0
10798,16.0
10833,35.0
10869,36.0
10882,13.0
10917,35.0
10936,19.0
10963,27.0
10993,30.0
11090,97.0
11118,28.0
11206,88.0
11219,13.0
11270,51.0
11311,41.0
11337,26.0
11355,18.0
11390,35.0
11438,48.0
11469,31.0
11515,46.0
11553,38.0
11597,44.0
11632,35.0
11653,21.0
11680,27.0
11694,14.0
11736,42.0
11792,56.0
11834,42.0
11896,62.0
11958,62.0
