timestep,reward
39,39.0
53,14.0
69,16.0
80,11.0
98,18.0
132,34.0
142,10.0
173,31.0
200,27.0
214,14.0
255,41.0
279,24.0
291,12.0
328,37.0
337,9.0
357,20.0
372,15.0
398,26.0
438,40.0
461,23.0
474,13.0
492,18.0
510,18.0
519,9.0
530,11.0
551,21.0
570,19.0
588,18.0
612,24.0
622,10.0
645,23.0
674,29.0
690,16.0
705,15.0
723,18.0
749,26.0
772,23.0
786,14.0
796,10.0
815,19.0
846,31.0
862,16.0
884,22.0
908,24.0
963,55.0
983,20.0
998,15.0
1015,17.0
1054,39.0
1076,22.0
1091,15.0
1107,16.0
1118,11.0
1155,37.0
1173,18.0
1185,12.0
1196,11.0
1215,19.0
1224,9.0
1256,32.0
1312,56.0
1331,19.0
1347,16.0
1362,15.0
1382,20.0
1396,14.0
1413,17.0
1426,13.0
1448,22.0
1485,37.0
1499,14.0
1513,14.0
1532,19.0
1563,31.0
1587,24.0
1612,25.0
1643,31.0
1669,26.0
1696,27.0
1718,22.0
1733,15.0
1757,24.0
1794,37.0
1814,20.0
1835,21.0
1851,16.0
1863,12.0
1881,18.0
1891,10.0
1912,21.0
1930,18.0
1949,19.0
1988,39.0
2003,15.0
2026,23.0
2048,22.0
2065,17.0
2090,25.0
2102,12.0
2118,16.0
2138,20.0
2157,19.0
2173,16.0
2188,15.0
2221,33.0
2233,12.0
2248,15.0
2257,9.0
2282,25.0
2349,67.0
2372,23.0
2385,13.0
2404,19.0
2416,12.0
2432,16.0
2458,26.0
2481,23.0
2500,19.0
2510,10.0
2520,10.0
2551,31.0
2565,14.0
2600,35.0
2629,29.0
2642,13.0
2673,31.0
2700,27.0
2726,26.0
2751,25.0
2774,23.0
2788,14.0
2800,12.0
2808,8.0
2824,16.0
2843,19.0
2852,9.0
2867,15.0
2884,17.0
2901,17.0
2930,29.0
2941,11.0
2957,16.0
2973,16.0
2988,15.0
2999,11.0
3019,20.0
3041,22.0
3064,23.0
3076,12.0
3088,12.0
3107,19.0
3125,18.0
3158,33.0
3198,40.0
3213,15.0
3231,18.0
3244,13.0
3281,37.0
3305,24.0
3327,22.0
3340,13.0
3368,28.0
3383,15.0
3412,29.0
3428,16.0
3442,14.0
3474,32.0
3493,19.0
3527,34.0
3543,16.0
3559,16.0
3610,51.0
3671,61.0
